Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
step 1435, trainig accuracy 1
step 1536, trainig accuracy 0.98
step 1537, trainig accuracy 0.96
step 1538, trainig accuracy 0.98
step 1539, trainig accuracy 0.98
step 1544, trainig accuracy 1
step 1545, trainig accuracy 0.94
step 1546, trainig accuracy 1
step 1547, trainig accuracy 1
step 1552, trainig accuracy 0.96
step 1553, trainig accuracy 1
step 1554, trainig accuracy 0.98
step 1555, trainig accuracy 0.98
step 1560, trainig accuracy 1
step 1561, trainig accuracy 0.96
step 1562, trainig accuracy 1
step 1563, trainig accuracy 0.98
step 1664, trainig accuracy 0.96
step 1665, trainig accuracy 1
step 1666, trainig accuracy 0.94
step 1667, trainig accuracy 1
step 1672, trainig accuracy 0.98
step 1673, trainig accuracy 0.98
step 1674, trainig accuracy 0.98
step 1675, trainig accuracy 0.96
step 1680, trainig accuracy 0.94
step 1681, trainig accuracy 0.98
step 1682, trainig accuracy 0.96
step 1683, trainig accuracy 0.98
step 1688, trainig accuracy 0.98
step 1689, trainig accuracy 0.98
step 1690, trainig accuracy 0.98
step 1691, trainig accuracy 0.96
step 1792, trainig accuracy 0.98
step 1793, trainig accuracy 0.98
step 1794, trainig accuracy 0.96
step 1795, trainig accuracy 0.98
step 1800, trainig accuracy 0.98
step 1801, trainig accuracy 0.98
step 1802, trainig accuracy 0.94
step 1803, trainig accuracy 1
step 1808, trainig accuracy 0.98
step 1809, trainig accuracy 0.96
step 1810, trainig accuracy 0.98
step 1811, trainig accuracy 1
step 1816, trainig accuracy 1
step 1817, trainig accuracy 0.96
step 1818, trainig accuracy 1
step 1819, trainig accuracy 1
step 1920, trainig accuracy 0.92
step 1921, trainig accuracy 0.98
step 1922, trainig accuracy 1
step 1923, trainig accuracy 1
step 1928, trainig accuracy 0.96
step 1929, trainig accuracy 0.92
step 1930, trainig accuracy 0.96
step 1931, trainig accuracy 1
step 1936, trainig accuracy 0.98
step 1937, trainig accuracy 1
step 1938, trainig accuracy 0.96
step 1939, trainig accuracy 1
step 1944, trainig accuracy 0.98
step 1945, trainig accuracy 0.98
step 1946, trainig accuracy 0.96
step 1947, trainig accuracy 1
step 2048, trainig accuracy 0.98
step 2049, trainig accuracy 0.98
step 2050, trainig accuracy 1
step 2051, trainig accuracy 0.94
step 2056, trainig accuracy 1
step 2057, trainig accuracy 0.94
step 2058, trainig accuracy 1
step 2059, trainig accuracy 0.98
step 2064, trainig accuracy 0.92
step 2065, trainig accuracy 0.96
step 2066, trainig accuracy 0.98
step 2067, trainig accuracy 1
step 2072, trainig accuracy 1
step 2073, trainig accuracy 0.96
step 2074, trainig accuracy 0.98
step 2075, trainig accuracy 1
step 2176, trainig accuracy 1
step 2177, trainig accuracy 1
step 2178, trainig accuracy 0.96
step 2179, trainig accuracy 0.96
step 2184, trainig accuracy 0.96
step 2185, trainig accuracy 0.98
step 2186, trainig accuracy 0.98
step 2187, trainig accuracy 0.98
step 2192, trainig accuracy 0.98
step 2193, trainig accuracy 0.96
step 2194, trainig accuracy 0.98
step 2195, trainig accuracy 0.94
step 2200, trainig accuracy 0.98
step 2201, trainig accuracy 0.98
step 2202, trainig accuracy 0.94
step 2203, trainig accuracy 0.98
step 2304, trainig accuracy 0.94
step 2305, trainig accuracy 1
step 2306, trainig accuracy 0.96
step 2307, trainig accuracy 0.96
step 2312, trainig accuracy 0.98
step 2313, trainig accuracy 0.98
step 2314, trainig accuracy 1
step 2315, trainig accuracy 1
step 2320, trainig accuracy 0.94
step 2321, trainig accuracy 1
step 2322, trainig accuracy 1
step 2323, trainig accuracy 0.98
step 2328, trainig accuracy 0.98
step 2329, trainig accuracy 1
step 2330, trainig accuracy 0.98
step 2331, trainig accuracy 1
step 2432, trainig accuracy 1
step 2433, trainig accuracy 1
step 2434, trainig accuracy 0.94
step 2435, trainig accuracy 0.98
step 2440, trainig accuracy 1
step 2441, trainig accuracy 0.98
step 2442, trainig accuracy 0.94
step 2443, trainig accuracy 0.96
step 2448, trainig accuracy 0.96
step 2449, trainig accuracy 1
step 2450, trainig accuracy 0.96
step 2451, trainig accuracy 0.98
step 2456, trainig accuracy 0.96
step 2457, trainig accuracy 0.98
step 2458, trainig accuracy 1
step 2459, trainig accuracy 0.98
step 2560, trainig accuracy 0.94
step 2561, trainig accuracy 1
step 2562, trainig accuracy 0.98
step 2563, trainig accuracy 0.96
step 2568, trainig accuracy 1
step 2569, trainig accuracy 0.96
step 2570, trainig accuracy 1
step 2571, trainig accuracy 0.94
step 2576, trainig accuracy 0.98
step 2577, trainig accuracy 0.98
step 2578, trainig accuracy 0.98
step 2579, trainig accuracy 0.98
step 2584, trainig accuracy 0.98
step 2585, trainig accuracy 0.98
step 2586, trainig accuracy 1
step 2587, trainig accuracy 1
step 2688, trainig accuracy 1
step 2689, trainig accuracy 0.98
step 2690, trainig accuracy 0.98
step 2691, trainig accuracy 0.96
step 2696, trainig accuracy 1
step 2697, trainig accuracy 0.96
step 2698, trainig accuracy 0.98
step 2699, trainig accuracy 1
step 2704, trainig accuracy 1
step 2705, trainig accuracy 0.98
step 2706, trainig accuracy 1
step 2707, trainig accuracy 0.94
step 2712, trainig accuracy 0.96
step 2713, trainig accuracy 0.94
step 2714, trainig accuracy 0.98
step 2715, trainig accuracy 0.98
step 2816, trainig accuracy 0.94
step 2817, trainig accuracy 0.98
step 2818, trainig accuracy 1
step 2819, trainig accuracy 1
step 2824, trainig accuracy 0.98
step 2825, trainig accuracy 0.96
step 2826, trainig accuracy 1
step 2827, trainig accuracy 1
step 2832, trainig accuracy 1
step 2833, trainig accuracy 1
step 2834, trainig accuracy 1
step 2835, trainig accuracy 0.98
step 2840, trainig accuracy 0.96
step 2841, trainig accuracy 1
step 2842, trainig accuracy 0.94
step 2843, trainig accuracy 0.96
step 2944, trainig accuracy 0.98
step 2945, trainig accuracy 1
step 2946, trainig accuracy 0.94
step 2947, trainig accuracy 1
step 2952, trainig accuracy 0.98
step 2953, trainig accuracy 1
step 2954, trainig accuracy 1
step 2955, trainig accuracy 0.98
step 2960, trainig accuracy 1
step 2961, trainig accuracy 1
step 2962, trainig accuracy 1
step 2963, trainig accuracy 0.98
step 2968, trainig accuracy 1
step 2969, trainig accuracy 1
step 2970, trainig accuracy 1
step 2971, trainig accuracy 0.98
step 3072, trainig accuracy 0.98
step 3073, trainig accuracy 0.96
